id,title,login_require,overview,vote_average,adult,backdrop_path,movie_id,original_language,original_title,popularity,poster_path,release_date,video,vote_count,status,trailer_url
13,Deadpool & Wolverine,0,"A listless Wade Wilson toils away in civilian life with his days as the morally flexible mercenary, Deadpool, behind him. But when his homeworld faces an existential threat, Wade must reluctantly suit-up again with an even more reluctant Wolverine.",7.913,0,/9l1eZiJHmhr5jIlthMdJN5WYoff.jpg,533535,en,Deadpool & Wolverine,23022.328,/8cdWjvZQUExUUTzyp4t6EDMubfO.jpg,2024-07-24,0,1344,1,https://www.youtube.com/watch?v=Idh8n5XuYIA
14,A Quiet Place: Day One,0,"As New York City is invaded by alien creatures who hunt by sound, a woman named Sam fights to survive with her cat.",7.016,0,/2RVcJbWFmICRDsVxRI8F5xRmRsK.jpg,762441,en,A Quiet Place: Day One,6197.201,/yrpPYKijwdMHyTGIOd1iK1h0Xno.jpg,2024-06-26,0,985,1,https://www.youtube.com/watch?v=E-WIb4ATfT8
15,Bad Boys: Ride or Die,0,"After their late former Captain is framed, Lowrey and Burnett try to clear his name, only to end up on the run themselves.",7.665,0,/3q01ACG0MWm0DekhvkPFCXyPZSu.jpg,573435,en,Bad Boys: Ride or Die,4244.191,/oGythE98MYleE6mZlGs5oBGkux1.jpg,2024-06-05,0,1354,1,https://www.youtube.com/watch?v=uWLNl_KQCAU
16,Despicable Me 4,0,"Gru and Lucy and their girls—Margo, Edith and Agnes—welcome a new member to the Gru family, Gru Jr., who is intent on tormenting his dad. Gru also faces a new nemesis in Maxime Le Mal and his femme fatale girlfriend Valentina, forcing the family to go on the run.",7.3,0,/lgkPzcOSnTvjeMnuFzozRO5HHw1.jpg,519182,en,Despicable Me 4,3824.644,/wWba3TaojhK7NdycRhoQpsG0FaH.jpg,2024-06-20,0,620,1,https://www.youtube.com/watch?v=LtNYaH61dXY
17,Inside Out 2,0,"Teenager Riley's mind headquarters is undergoing a sudden demolition to make room for something entirely unexpected: new Emotions! Joy, Sadness, Anger, Fear and Disgust, who’ve long been running a successful operation by all accounts, aren’t sure how to feel when Anxiety shows up. And it looks like she’s not alone.",7.626,0,/stKGOm8UyhuLPR9sZLjs5AkmncA.jpg,1022789,en,Inside Out 2,3628.807,/vpnVM9B6NMmQpWeZvzLvDESb2QY.jpg,2024-06-11,0,2272,1,https://www.youtube.com/watch?v=u69y5Ie519M
18,House of Ga'a,0,"At the height of the Oyo Empire, the ferocious Bashorun Ga'a became more powerful than the kings he enthroned, only to be undone by his own blood.",5.4,0,/c3rwwFFVbkyEI6wPtpPd9lvovPW.jpg,1311550,en,House of Ga'a,1730.942,/6yK9hmS641NMwRkR1wWAALWI34t.jpg,2024-07-26,0,13,1,https://www.youtube.com/watch?v=I6uNj0Zlak8
19,The Convert,0,"Munro, a soldier turned lay preacher, comes to New Zealand to minister to the first British colonists, but he is converted by the powerful chief Maianui to serve a different purpose.",6.531,0,/tqSg1hHiSWhHAhnjDhhevaFGsP0.jpg,1066262,en,The Convert,1642.535,/e5ZqqPlhKstzB4geibpZh38w7Pq.jpg,2024-03-14,0,32,1,https://www.youtube.com/watch?v=6NQkoW7hwi8
20,The Ministry of Ungentlemanly Warfare,0,"During World War II, the British Army assigns a group of competent soldiers to carry out a mission against the Nazi forces behind enemy lines... A true story about a secret British WWII organization – the Special Operations Executive. Founded by Winston Churchill, their irregular warfare against the Germans helped to change the course of the war, and gave birth to modern black operations.",7.152,0,/s5znBQmprDJJ553IMQfwEVlfroH.jpg,799583,en,The Ministry of Ungentlemanly Warfare,1496.977,/8aF0iAKH9MJMYAZdi0Slg77RYa2.jpg,2024-04-18,0,709,1,https://www.youtube.com/watch?v=zvwDen1Wrx8
21,The Garfield Movie,0,"Garfield, the world-famous, Monday-hating, lasagna-loving indoor cat, is about to have a wild outdoor adventure! After an unexpected reunion with his long-lost father – scruffy street cat Vic – Garfield and his canine friend Odie are forced from their perfectly pampered life into joining Vic in a hilarious, high-stakes heist.",7.2,0,/Akv9GlCCMrzcDkVz4ad8MdLl9DK.jpg,748783,en,The Garfield Movie,1476.332,/p6AbOJvMQhBmffd0PIv0u8ghWeY.jpg,2024-04-30,0,678,1,https://www.youtube.com/watch?v=yk2Ej59DnrE
22,Kingdom of the Planet of the Apes,0,"Several generations following Caesar's reign, apes – now the dominant species – live harmoniously while humans have been reduced to living in the shadows. As a new tyrannical ape leader builds his empire, one young ape undertakes a harrowing journey that will cause him to question all he's known about the past and to make choices that will define a future for apes and humans alike.",7.2,0,/fqv8v6AycXKsivp1T5yKtLbGXce.jpg,653346,en,Kingdom of the Planet of the Apes,1262.512,/gKkl37BQuKTanygYQG1pyYgLVgf.jpg,2024-05-08,0,2305,1,https://www.youtube.com/watch?v=Tg1FesR8X90
23,Non Negotiable,0,"Hostage negotiator Alan Bender is called to rescue the president from a kidnapping, only to find himself also mediating to save his wife and marriage.",6.12,0,/6Vbm2nHxHMlZZ199fmZtMytpFvK.jpg,1309923,es,No negociable,1249.391,/bHQG4UsLMFCy91gfLAFRpnCOPdP.jpg,2024-07-25,0,50,1,https://www.youtube.com/watch?v=hUqvcd5QgqA
24,Escape from the 21st Century,0,"On Planet K, unknown to anyone on Earth, three teenagers chosen by fate can travel back and forth twenty years into the future by sneezing. In the face of a shocking plot to destroy the world, they have nothing but crystal-clear stupidity and single-digit combat power, so how can they transform into heroes and fight against the super-villainous villains who are intent on destroying the world? How can they turn into heroes and fight against the super baddest villains intent on destroying the world? The ""King Bomb"" brothers, who look like grown-ups but have minds like no other, will save the future on behalf of the K-Star!",7.667,0,/w22yUH5pAZ3CcTjbw9GEzPd5wxs.jpg,1242372,zh,从21世纪安全撤离,1125.171,/nZQPbD7IEKWiUDK7s9GKHwqP88g.jpg,2024-07-18,0,6,1,
25,Justice League: Crisis on Infinite Earths Part Three,0,"Now fully revealed as the ultimate threat to existence, the Anti-Monitor wages an unrelenting attack on the surviving Earths that struggle for survival in a pocket universe. One by one, these worlds and all their inhabitants are vaporized! On the planets that remain, even time itself is shattered, and heroes from the past join the Justice League and their rag-tag allies against the epitome of evil. But as they make their last stand, will the sacrifice of the superheroes be enough to save us all?",7.5,0,/dsGwCEO8tda4FlgHKvL95f0oQbH.jpg,1209290,en,Justice League: Crisis on Infinite Earths Part Three,1098.505,/a3q8NkM8uTh9E23VsbUOdDSbBeN.jpg,2024-07-16,0,128,1,https://www.youtube.com/watch?v=tQ3Aahb_PDE
26,Furiosa: A Mad Max Saga,0,"As the world fell, young Furiosa is snatched from the Green Place of Many Mothers and falls into the hands of a great Biker Horde led by the Warlord Dementus. Sweeping through the Wasteland they come across the Citadel presided over by The Immortan Joe. While the two Tyrants war for dominance, Furiosa must survive many trials as she puts together the means to find her way home.",7.635,0,/wNAhuOZ3Zf84jCIlrcI6JhgmY5q.jpg,786892,en,Furiosa: A Mad Max Saga,1066.884,/iADOJ8Zymht2JPMoy3R7xceZprc.jpg,2024-05-22,0,2482,1,https://www.youtube.com/watch?v=LYV3001u574
27,Johnny & Clyde,0,"Johnny and Clyde are two serial killers who are madly in love and on an endless crime spree. Alana (Megan Fox) is the confident and cunning owner of a prosperous casino that generates tens of millions of dollars each year. Johnny and Clyde decide to assemble a ragtag group of criminals and misfits to steal from Alana's casino and pull off the heist of the century. Unfortunately for Johnny and Clyde's crew, Alana has a deadly weapon at her disposal – the monstrous slasher spirit known as Bakwas.",4.327,0,/tIpd7vvjoNyG6CAVqSL9gJqJSTy.jpg,857553,en,Johnny & Clyde,889.763,/cdfdR90WYCTQmYoQ0aDRZP8I2IL.jpg,2023-03-23,0,26,1,https://www.youtube.com/watch?v=sBu3KpXFD4A
28,Godzilla x Kong: The New Empire,0,"Following their explosive showdown, Godzilla and Kong must reunite against a colossal undiscovered threat hidden within our world, challenging their very existence – and our own.",7.189,0,/veIyxxi5Gs8gvztLEW1Ysb8rrzs.jpg,823464,en,Godzilla x Kong: The New Empire,882.461,/z1p34vh7dEOnLDmyCrlUVLuoDzd.jpg,2024-03-27,0,3347,1,https://www.youtube.com/watch?v=m2u6RfmTXt0
