id,movie_id,category_id
1,13,7
2,13,8
3,13,9
7,15,7
8,15,10
9,15,11
10,15,8
11,14,12
12,14,9
13,14,11
14,16,13
15,16,14
16,16,8
17,16,7
18,17,13
19,17,14
20,17,15
21,17,8
22,18,7
23,18,16
24,19,7
25,19,17
26,20,7
27,20,8
28,20,18
29,21,13
30,21,8
31,21,14
32,21,15
33,22,9
34,22,15
35,22,7
36,23,7
37,23,11
38,23,8
39,23,17
40,24,9
41,24,8
42,25,13
43,25,9
44,25,7
45,26,7
46,26,15
47,26,9
48,27,7
49,27,11
50,27,10
51,28,9
52,28,7
53,28,15
54,29,19
55,29,15
56,29,14
57,29,8
58,30,7
59,30,8
60,31,7
61,31,15
62,31,8
63,32,7
64,32,15
65,32,18
190,33,11
191,33,17
192,33,7
193,33,10
194,34,13
195,34,7
196,34,17
197,35,12
198,35,10
199,35,20
200,36,12
201,37,7
202,37,17
203,37,11
204,38,12
205,38,11
206,39,11
207,39,12
208,40,7
209,40,8
210,40,15
211,41,18
212,41,7
213,41,17
214,42,11
215,42,12
216,43,7
217,43,8
218,43,10
219,44,13
220,44,8
221,44,15
222,44,14
223,45,13
224,45,14
225,45,19
226,46,12
227,46,11
228,47,12
229,47,11
230,48,7
231,48,11
232,49,13
233,49,14
234,49,15
235,49,17
236,49,8
237,50,12
238,50,11
239,51,7
240,51,17
241,51,12
242,51,11
243,52,7
244,52,15
245,52,17
247,53,13
248,53,7
249,53,15
250,53,8
251,53,14
252,54,17
253,54,21
254,55,13
255,55,15
256,55,7
257,55,19
258,55,14
259,56,12
260,57,9
261,57,7
262,58,14
263,58,19
268,59,9
269,59,15
270,59,7
271,60,7
272,60,8
273,61,15
274,61,14
275,62,9
276,62,12
277,62,7
278,63,7
279,63,11
280,64,9
281,64,17
282,64,7
283,65,12
284,65,11
285,66,12
286,67,7
287,67,10
288,67,8
289,67,11
290,68,19
291,68,20
292,68,11
293,68,12
296,69,7
297,69,15
298,69,11
299,69,10
300,70,13
301,70,15
302,70,8
303,70,7
304,70,14
305,71,13
306,71,14
307,71,19
308,71,15
309,72,7
310,72,9
311,72,12
312,72,11
313,73,8
314,73,19
315,73,14
316,74,15
317,74,7
318,74,9
319,75,9
320,75,7
321,76,17
322,76,22
323,77,13
324,77,7
325,77,15
326,77,8
327,77,14
328,78,9
329,78,15
330,79,13
331,79,14
332,79,19
333,80,17
334,80,21
335,80,8
336,81,7
337,81,17
338,81,11
339,82,9
340,82,7
341,82,15
342,83,13
343,83,7
344,83,15
345,83,9
346,84,7
347,85,13
348,85,14
349,85,15
350,85,19
351,85,8
352,86,12
353,86,11
354,87,13
355,87,8
356,88,8
357,88,7
358,89,17
359,89,16
360,90,8
361,90,21
372,91,10
373,91,11
374,92,11
375,92,12
376,92,7
377,93,15
378,93,19
379,93,7
380,94,8
381,94,14
382,94,19
383,95,7
384,95,8
385,95,10
389,96,7
390,96,9
391,96,15
392,97,8
393,98,7
394,99,9
395,99,12
396,99,11
397,100,8
398,100,7
399,100,15
402,101,19
403,101,15
404,101,7
405,101,14
406,101,21
407,102,9
408,102,7
409,102,19
410,102,15
411,103,7
412,103,11
413,103,10
414,104,7
415,104,10
416,104,11
419,105,20
420,105,12
421,105,11
422,106,17
423,106,10
424,107,17
425,107,21
426,107,11
427,108,17
428,108,12
435,109,7
436,109,15
437,109,8
438,110,21
439,110,9
440,110,17
444,111,8
445,111,13
446,112,13
447,112,8
448,112,15
449,112,7
450,113,13
451,113,17
452,114,21
453,114,8
454,115,7
455,115,11
456,116,10
457,116,12
458,116,11
459,117,7
460,117,17
461,117,9
465,118,7
466,118,9
467,119,13
468,119,8
469,119,9
470,120,17
473,121,9
474,121,11
475,121,12
482,122,8
483,122,15
484,122,19
485,122,13
486,122,14
487,123,16
488,123,17
489,124,13
490,124,15
491,124,19
492,125,7
495,126,12
496,127,9
497,127,7
498,127,15
501,128,13
502,128,9
503,128,7
504,129,13
505,129,8
506,129,14
507,129,19
508,129,21
509,130,12
510,130,8
511,131,17
512,131,23
517,132,15
518,132,17
519,132,9
520,133,19
521,133,15
522,133,8
523,134,8
524,134,15
525,135,13
526,135,14
527,135,8
528,136,16
529,136,17
530,136,11
531,136,18
532,137,9
533,137,7
534,137,19
535,137,15
536,138,17
537,138,21
538,138,24
539,139,15
540,139,9
541,139,7
542,140,10
543,140,21
544,140,11
545,141,13
546,141,19
547,141,14
548,142,12
549,142,17
550,142,9
554,143,13
555,143,15
556,143,19
557,143,8
558,143,14
559,144,7
560,144,20
561,144,9
562,144,11
566,145,19
567,145,8
568,145,14
569,145,21
570,146,18
571,147,7
572,147,15
573,147,9
574,148,15
575,148,19
576,148,7
577,149,7
578,149,8
579,150,9
580,150,15
581,151,13
582,151,9
583,151,14
584,151,7
585,152,17
586,152,10
587,153,10
588,153,7
589,153,15
590,153,11
591,154,7
592,154,15
593,154,9
594,155,12
595,155,11
596,156,21
597,156,17
598,157,17
599,157,10
600,158,10
601,158,17
602,158,11
603,159,13
604,159,14
605,159,19
606,160,8
607,160,21
608,161,7
609,162,9
610,162,15
611,162,7
612,163,12
613,163,11
614,164,7
615,164,9
616,164,12
617,165,13
618,165,7
619,166,9
620,166,17
621,167,9
622,168,17
623,169,11
624,169,7
625,169,10
626,170,12
627,170,7
628,171,13
629,171,17
630,171,19
631,172,7
632,172,11
633,173,14
634,173,13
635,173,24
636,173,15
641,174,13
642,174,8
643,174,14
644,174,15
645,175,21
646,175,8
647,176,7
648,176,15
649,176,19
654,178,10
655,178,11
656,178,7
657,178,15
658,179,20
659,179,11
660,179,17
661,180,19
662,180,17
663,180,21
664,181,10
665,181,11
666,182,12
667,182,11
670,183,9
671,183,7
672,184,8
673,184,14
674,184,21
675,185,13
676,185,9
677,185,7
678,186,17
679,186,8
680,187,11
681,187,7
682,187,12
683,188,7
684,188,9
685,188,15
686,189,14
687,189,15
688,189,19
689,190,15
690,190,14
691,190,13
692,190,7
693,190,8
694,191,17
695,191,21
696,192,7
697,192,15
698,192,9
699,193,15
700,193,7
701,193,9
704,194,7
705,194,17
706,195,17
707,195,9
708,196,7
709,196,15
710,196,19
711,197,12
712,197,11
713,198,14
714,198,8
715,198,13
716,199,17
717,199,21
718,200,11
719,200,7
720,200,10
721,201,12
726,202,7
727,202,15
728,202,19
729,203,17
730,203,12
731,204,7
732,204,19
733,204,18
734,205,21
735,205,17
736,206,9
737,206,15
